company,education,experience,industry,jobdescription,jobid,joblocation_address,jobtitle,numberofpositions,payrate,postdate,site_name,skills,uniq_id
Waytogo Consultants Pvt Ltd,UG: Any Graduate - Any Specialization,2 - 5 yrs,Banking / Financial Services / Broking,"job description   send me jobs like this handling sales support function for banking & national distributors. handling distributor queries, checking transactions for discrepancies, co-ordinate with internal & external customers. ensuring smooth functioning of day to day operations developing relationships with service teams of distributors. salary:inr 2,50,000 - 6,00,000 p.a industry: banking / financial services / broking functional area: financial services , banking , investments , insurance role category:operations/processes/finance/legal role:operations officer desired candidate profile please refer to the job description above education- ug: any graduate - any specialization company profile: waytogo consultants pvt ltd a leading bfsi download ppt photo 1   view contact details",91116600303,"Mumbai, Navi Mumbai, Mumbai Suburbs, Mumbai",Sales Support Executive,2.0,"2,50,000 - 6,00,000 P.A",2016-11-08 19:48:31 +0000,www.naukri.com,Financial Services,18ba67833dff4e7962ade4b615bb4cf2
QUANTUM ASSET MANAGEMENT COMPANY PRIVATE LIMITED.,UG: Any Graduate - Any Specialization PG:Any Postgraduate - Any Specialization,3 - 6 yrs,IT-Software / Software Services,"job description   send me jobs like this the candidate should be well versed with:- asp.net, jquery dot net framework 4.5 mvc , sql, salary: not disclosed by recruiter industry: it-software / software services functional area: it software - application programming , maintenance role category:programming & design role:software developer desired candidate profile please refer to the job description above education- ug: any graduate - any specialization pg:any postgraduate - any specialization company profile: quantum asset management company private limited. quantum asset management company (quantum amc), founded by mr. ajit dayal, was established in the year 2006 as india's first dedicated, direct-to-investor mutual fund house. at quantum, we aim to be india's most respected mutual fund house by adhering to traditional values of simplicity, transparency and integrity while continuing to deliver steady performance over the long term. quantum believes that investing is really simple and not as complicated as it is made out to be. ethics, self-belief and innovation are three pillars upon which each department of quantum stands. download ppt photo 1   view contact details",230916600730,Mumbai,Software Developer - Asp . Net,6.0,Not Disclosed by Recruiter,2016-12-02 19:48:31 +0000,www.naukri.com,IT Software - Application Programming,d0f22f82c236f2291123505335c9b10a
BIO JOBZ( Medulla Recruitment Services Pvt Ltd),"UG: B.Tech/B.E. - Any Specialization, Mechanical",10 - 15 yrs,Pharma / Biotech / Clinical Research,"job description   send me jobs like this 1.pr to po :to manage entire pr to po process for supply items of hvac, crp , electrical items, instrumentation items, mechanical items, process and utility equipment for formulation plants. understand the rfq/rfp , identify probable suppliers , take offers , get the offers evaluated , analyse tbe , commercial evaluation of suppliers , clean sheet costing , negotiation , preparation of orders , signing of contracts. 2.contract management : contractor identification, evaluation , negotiation , finalization. contract administration , dispute settlement , engagement with legal ,contract closure. to take care of all types of contracts for civil , mechanical, electrical, instrumentation, piping, insulation , hvac , crp works right from issue of tender to signing of contract. should be able to carry out rate analysis of items of work contracts. 3.customer service : to ensure high level of customer satisfaction , ensure delivery of commitments, timely service to internal and external customer. 4.planning and scheduling : to make advance procurement plan based on project needs , prepare a schedule in collaboration with project schedule , periodically review with internal customer and update the same. ensure adherence to procurement plan. 5.financials: ensure to achieve targeted savings , cash flows, terms of payments , lc/cad documentation. 6.value engineering: should be sharp in bringing in value thru value engineering , cost modeling , benchmarking. must have good techno commercial acumen to deal with suppliers. 7.people skill : must have ability to manage the team under pressure and cross functional teams to ensure high level of customer service, motivation and guidance to team. should be a team player , open to learning. 8.travel: should be willing to travel to various sites for reviews , customer service , resolve plant level issues. 9.new vendor development: should be knowledgeable and fast in new vendor/contractor identification, evaluation, approval. 10.general: should possess problem solving attitude , bring smart solutions , quick response ability , good in communication ( spoken /written) , should have command on ms excel, ms power point. salary: not disclosed by recruiter industry: pharma / biotech / clinical research functional area: supply chain , logistics , purchase , materials role category:purchase/material management role:purchase/vendor development manager desired candidate profile please refer to the job description above education- ug: b.tech/b.e. - any specialization, mechanical company profile: bio jobz( medulla recruitment services pvt ltd) www.biojobz.com download ppt photo 1   view contact details",51116600126,Mumbai,Capital Procurement,1.0,Not Disclosed by Recruiter,2016-11-04 19:48:31 +0000,www.naukri.com,Supply Chain,284a5c4f3287982760eabe250e6ba0c1
AERONUBE TECHNOLOGY PRIVATE LIMITED,UG: Any Graduate - Any Specialization PG:Any Postgraduate - Any Specialization,8 - 10 yrs,Banking / Financial Services / Broking,"job description   send me jobs like this greetings from aeronube technology !! this is with regards to an excellent opportunity with us and if you have that unique and unlimited passion to build world class enterprise software products that turn into actionable intelligence, then we have the right opportunity for you and your career. this is an opportunity of permanent employment with one of our it conglomerate clients. type of employment: permanent what we are looking for: risk & compliance financial services location: mumbai people who are excited by technology and working with others to develop truly great software. people willing to learn new skills and who are not tied to any one language, but who have developed their skills sufficiently to accept any challenge. people who are willing to take ownership, take responsibility and perform in a ""first-class"" way. job description: experience : 8 to 10 years experience knowledge & experience : 1) good knowledge of financial services regulations and working knowledge of banking industry and its regulatory environment (banking regulation act, rbi act and guidelines, companies act, pmla, fema etc.); 2) knowledge and experience of best practice compliance and governance frameworks, methodologies and emerging practice, compliance monitoring and risk assessments in the context of the financial services and banking industry. 3) ability to read and interpret information written in highly technical and legalistic format. ability to interpret rbi circulars and other regulatory communications and ensure implementation. 4) possess strong regulatory, product and transaction knowledge and strong written and verbal skills, analytical, attention to details, be able to spot and document irregular trends and patterns job industry exposure - banks qualification: post grad (mba/ ca) salary: not disclosed by recruiter industry: banking / financial services / broking functional area: accounts , finance , tax , company secretary , audit role category:senior management role:head/vp/gm-regulatory affairs desired candidate profile if you are interested for the above position then, kindly send us the following details (mandatory) along with an updated resume / cv as soon as possible, so that we could process your profile for the same.full name: skill: total experience: relevant experience: contact number: alternate contact number: dob: take home salary per month: expected take home salary per month:currently working/not working/ serving notice period:current company: employment [permanent/contract]: if contract, please specify your primary company details with url: required time to join: current location: please let us know if you are holding any other offers: ready to take f2f interview (mandatory):passport: wishing you all the very best. in case you might want to get in touch with us for better assistance, please feel free to email us at jobs@aeronube.com and we would be more than glad to help you. education- ug: any graduate - any specialization pg:any postgraduate - any specialization company profile: aeronube technology private limited aeronube is a result driven specialist it organization with extensive sector knowledge and experience in it staffing / managed services & software development providing end to end it services and solutions to different fortune 500 clients. in todayu2019s world, as business becomes more demanding, organizations need to re-engineer their it services & solutions and need to be agile and flexible to meet ever-changing business expectations and that requires a broad-based and integrated capability u2013 not just in skills, but across capabilities, types of engagements and service delivery models. innovative strategies, technological expertise and a holistic approach to commitments is the key differentiator to aeronubeu2019s approach. rnrnordinary jobs can be a bit boring. we get that. but boring is not a word you would associate with aeronube. no. boring we are not.rnrnwe're a vibrant, innovative company with big ideas and a great vision: to fundamentally change the recruitment industry and make people feel good about recruitment.we're looking to grow quickly, and we're on the look out for dynamic, free-thinking professionals to join our team and help us achieve our goal(s). we offer competitive packages, opportunities for training and career development, and a chance to make a real difference in a fast-paced, meritocratic, performance-driven but fun environment. rnrnwith a highly qualified /skilled management and leadership team, we deploy innovative and effective search methodologies to meet our clientu2019s needs. download ppt photo 1   view contact details",101116600372,Mumbai,Risk & Compliance â?? Financial Services / Mumbai / IT Conglomerate,2.0,Not Disclosed by Recruiter,2016-11-09 19:48:32 +0000,www.naukri.com,Accounts,71183fc0a19e2c5cf47b76d787a649a2
Zirca Digital Solutions Pvt. Ltd.,UG: Any Graduate - Any Specialization PG:Any Postgraduate - Any Specialization,2 - 5 yrs,Media / Entertainment / Internet,"job description   send me jobs like this - develop strategic plan to achieve revenue goals; hit or exceed these revenue goals - develop and expand client partnerships with rigorous and detailed attention to client needs, development of case studies for purposes of heralding agency-client wins and for up-sell - develop and maintain strong active relationships with key client stakeholders at both senior and mid-management levels - understand agency, advertiser, and vendor landscapes and trends, reporting this to the organization - understand and effectively communicate zirca value proposition, technology, processes, partnerships as relate to growth of current and prospective client accounts - develop in-depth knowledge of the industry and of the biddable media marketplace past, present, and future other responsibilities, as may be required, such as: conference attendance, industry event attendance, and other substantive activities as we may decide salary:inr 5,00,000 - 9,00,000 p.a. reimbursement & medical insurance industry: media / entertainment / internet functional area: sales , retail , business development role category:retail sales role:sales executive/officer desired candidate profile please refer to the job description above education- ug: any graduate - any specialization pg:any postgraduate - any specialization company profile: zirca digital solutions pvt. ltd. zirca is an independent digital media and content solutions that helps advertisers achieve digital excellence via advertising & content solutions. we create value through our three verticals; - representation - we have partnered with some of the leading indian & global publishers and have enabled them to monetize their digital assets through digital media and sales evangelizations; - platforms - we handle revenue monetization for single channel platforms to achieve client objectives.- brand solutions - this focuses completely on building content as a mean of brand communication. it provides bespoke content-led solutions to brands. download ppt photo 1   view contact details",181016600001,"Bengaluru, Mumbai",Sales Executive / Assistant Manager,2.0,"5,00,000 - 9,00,000 P.A. Reimbursement & Medical Insurance",2016-11-09 19:48:32 +0000,www.naukri.com,Sales,bb4231c5bcd75a47b8ca0673241db645
Zirca Digital Solutions Pvt. Ltd.,UG: Any Graduate - Any Specialization PG:Any Postgraduate - Any Specialization,1 - 3 yrs,Media / Entertainment / Internet,"job description   send me jobs like this - assist in guiding clients to execute and oversee day-to-day yield management across all campaigns and supply sources, including performance monitoring, identifying and implementing enhancements, issue identification and escalation - monitor and manage all aspects of top tier client performance, actively teaching clients how to best drive their business goals via the terminalone technology. - establish a consistent and collaborative mediamath presence and act as the primary point of contact for assigned clients; escalate, track and solve client issues - become resident expert at using terminalone, mediamaths media trading platform - implement and launch campaigns on terminalone to ensure alignment with all requirements, constraints, and objectives - establish a positive working relationship with clients - assist in guiding clients to execute and oversee day-to-day yield management across all campaigns and supply sources, including performance monitoring, identifying and implementing enhancements, issue identification and escalation - partner with clients to understand end clients business goals, marketing objectives, and competitive constraints - assist in the design and champion innovative, sophisticated strategies and media tactics that uniquely deliver against end-client goals and enable agency partners to deliver exceptional value to their clients - internal reporting to team of marketplace learnings and client requests to inform product development - build upon internal knowledgebase of terminalone best practices - understanding the online media marketplace: who is our competition: what is their approach and value proposition? - contribute to weekly, monthly, and annual client insights and strategy reports salary:inr 3,00,000 - 6,00,000 p.a. reimbursements & medical insurance industry: media / entertainment / internet functional area: marketing , advertising , mr , pr , media planning role category:advertising role:media planning executive/manager desired candidate profile please refer to the job description above education- ug: any graduate - any specialization pg:any postgraduate - any specialization company profile: zirca digital solutions pvt. ltd. zirca is an independent digital media and content solutions that helps advertisers achieve digital excellence via advertising & content solutions. we create value through our three verticals; - representation - we have partnered with some of the leading indian & global publishers and have enabled them to monetize their digital assets through digital media and sales evangelizations; - platforms - we handle revenue monetization for single channel platforms to achieve client objectives - brand solutions - this focuses completely on building content as a mean of brand communication. it provides bespoke content-led solutions to brands. download ppt photo 1   view contact details",101116600732,Mumbai,Platform Analyst (trader),1.0,"3,00,000 - 6,00,000 P.A. Reimbursements & Medical Insurance",2016-11-09 19:48:33 +0000,www.naukri.com,Marketing,a63cb7f8b3660124d76a51198801c8e2
AERONUBE TECHNOLOGY PRIVATE LIMITED,UG: Any Graduate - Any Specialization PG:Any Postgraduate - Any Specialization,6 - 10 yrs,IT-Software / Software Services,"job description   send me jobs like this greetings from aeronube technology !! this is with regards to an excellent opportunity with us and if you have that unique and unlimited passion to build world class enterprise software products that turn into actionable intelligence, then we have the right opportunity for you and your career. people who are excited by technology and working with others to develop truly great software. people willing to learn new skills and who are not tied to any one language, but who have developed their skills sufficiently to accept any challenge. people who are willing to take ownership, take responsibility and perform in a ""first-class"" way. this is an opportunity of permanent employment with it mnc what we are looking for: android lead experience - 6 to 10 years location: mumbai job description: 6 years of android application development experience should be able to do coding and leading the team. leads-only need not apply. able to work in a no-hierarchy environment, and fast sprint work cycles exposure to building complex enterprise level android apps for various mobile & tablet form factors worked on android ui, webview, fragments, audio-video player. exposure to device and content management. experience with third-party libraries and apis for social platforms, common authentication systems, payment models . strong grasp of oop concepts, data structures. experience with communication with http, xml, json, web services via rest, push notifications. platform api experience for collaboration with bluetooth, wi-fi, etc. design for online and offline modes of native mobile applications. able to acquire knowledge about new frameworks/libraries quickly. strong mobile ux design, development, support and framework apis experience. in depth knowledge & experience of consumer & enterprise android application development, maintenance, and testing. exposure to java. able to work in a distributed team. good communication skills. opengl experience is advantage(optional). joining time : immediate to 30 days joiners will be preferred salary: not disclosed by recruiter industry: it-software / software services functional area: it software - mobile role category:programming & design role:team lead/technical lead desired candidate profile if you are interested for the above position then, kindly send us the following details (mandatory) along with an updated resume / cv as soon as possible, so that we could process your profile for the same.full name: skill: total experience: relevant experience: contact number: alternate contact number: dob: take home salary per month: expected take home salary per month:currently working/not working/ serving notice period:current company: employment [permanent/contract]: if contract, please specify your primary company details with url: required time to join: current location: please let us know if you are holding any other offers: ready to take f2f interview (mandatory):passport: wishing you all the very best. in case you might want to get in touch with us for better assistance, please feel free to email us at jobs@aeronube.com and we would be more than glad to help you. education- ug: any graduate - any specialization pg:any postgraduate - any specialization company profile: aeronube technology private limited aeronube is a result driven specialist it organization with extensive sector knowledge and experience in it staffing / managed services & software development providing end to end it services and solutions to different fortune 500 clients. in todayu2019s world, as business becomes more demanding, organizations need to re-engineer their it services & solutions and need to be agile and flexible to meet ever-changing business expectations and that requires a broad-based and integrated capability u2013 not just in skills, but across capabilities, types of engagements and service delivery models. innovative strategies, technological expertise and a holistic approach to commitments is the key differentiator to aeronubeu2019s approach. rnrnordinary jobs can be a bit boring. we get that. but boring is not a word you would associate with aeronube. no. boring we are not.rnrnwe're a vibrant, innovative company with big ideas and a great vision: to fundamentally change the recruitment industry and make people feel good about recruitment.we're looking to grow quickly, and we're on the look out for dynamic, free-thinking professionals to join our team and help us achieve our goal(s). we offer competitive packages, opportunities for training and career development, and a chance to make a real difference in a fast-paced, meritocratic, performance-driven but fun environment. rnrnwith a highly qualified /skilled management and leadership team, we deploy innovative and effective search methodologies to meet our clientu2019s needs. download ppt photo 1   view contact details",101116600363,Mumbai,Android Lead _ IT MNC _ Mumbai,1.0,Not Disclosed by Recruiter,2016-11-09 19:48:34 +0000,www.naukri.com,IT Software - Mobile,a6ae01916d01fbae65bc768fe7a70eef
Rasilant Technologies Pvt. Ltd.,"UG: B.Tech/B.E. - Electrical, Electronics/Telecommunication PG:Post Graduation Not Required Doctorate:Doctorate Not Required",2 - 5 yrs,Automobile / Auto Anciliary / Auto Components,"job description   send me jobs like this responsibilities: #demonstrate leadership through proactive issue resolution and continuous improvement #deliver projects on time, on specification and on budget #ensure your teams provide an exceptional customer experience #guide, advise, and consult with customers that are new to robotics #anticipate unforeseen problems and deal with them proactively #ensure vendors and suppliers deliver on commitments #negotiate with customers and vendors to find win-win outcomes #motivate and bring out the best in your project team #facilitate problem solving amongst team members of different disciplines, backgrounds and experience levels #mentor other jmp employees on various aspects of projects skills, knowledge, and experiences: #a solid understanding of the automation industry with a background as a #controls engineer, mechanical designer or project engineer #driven to take on new initiatives, roles and responsibilities in a growing team #commitment to results; to do what it takes to get the job done #proven ability to build solid partnerships and maintain strong customer relations #strong leadership, influencing, and negotiating skills #strong problem solving ability for technical and customer based issues #demonstrates a high degree of integrity, accountability and strong collaboration skills #exceptional customer communications and ability to manage the customer experience, remotely or at customer sites salary:inr 3,00,000 - 4,00,000 p.a industry: automobile / auto anciliary / auto components functional area: site engineering , project management role category:site engineering role:electrical engineer-utility keyskills project engineering continuous improvement issue resolution customer experience negotiation skills customer relationship problem solving team desired candidate profile please refer to the job description above education- ug: b.tech/b.e. - electrical, electronics/telecommunication pg:post graduation not required doctorate:doctorate not required company profile: rasilant technologies pvt. ltd. rasilant technologies, a privately held technology solutions and consulting company headquartered in mumbai, india specializes in radio frequency identification (rfid) solutions and system integration services. the company was founded in 2005 and has customers across india. as of 2012, rasilant has over 30 employees and presence in india and singapore. originally founded as a technology start up providing customized rfid solutions, rasilant has grown to a company with products and services spanning across sectors of industrial and commercial system integration, using rfid and other associated technologies in the security, safety and automation space. rasilant has been one of the earliest adopters of the rfid technology in the indian market and has established itself as the market leaders in rfid automation solutions. download ppt photo 1   view contact details",291215001638,Mumbai,Assistant Manager Project,1.0,"3,00,000 - 4,00,000 P.A",2015-12-29 19:48:34 +0000,www.naukri.com,Site Engineering,e44d3c03924b15554510adbf6ce7db9f
Strategic Management Consultants,UG: Any Graduate - Any Specialization PG:MBA/PGDM - Any Specialization,8 - 12 yrs,Textiles / Garments / Accessories,"job description   send me jobs like this generating business by opening new market avenues in entire region. tapping new customer in region by mean of various mode of marketing planning business module for the company at regional level with a long term perspective handling key accounts, client servicing salary:inr 4,00,000 - 7,00,000 p.a industry: textiles / garments / accessories functional area: sales , retail , business development role category:retail sales role:regional manager desired candidate profile follow up of orders from sample development till final dispatch.getting various approvals from the customer and getting inspections conducted at different stages of production. to work in close coordination with the accounting education- ug: any graduate - any specialization pg:mba/pgdm - any specialization company profile: strategic management consultants the client is a leading manufacturer of rain wear / winter wear and exports. download ppt photo 1   view contact details",101116600270,"Hyderabad, Mumbai, Bengaluru Bangalore, Delhi",Regional Manager Sales,4.0,"4,00,000 - 7,00,000 P.A",2016-11-09 19:48:34 +0000,www.naukri.com,Sales,f6f7c9d9dc6c4184c68a74e50b1d57ad
Black Peppers hiring for Chain of QSR in Mumbai,UG: Any Graduate - Any Specialization Doctorate:Doctorate Not Required,2 - 5 yrs,Travel / Hotels / Restaurants / Airlines / Railways,"job description   send me jobs like this candidates with experience in handling hr generalist,activities like payroll, statutory norms, recruitment, induction, training, etc. salary:inr 2,25,000 - 3,25,000 p.a industry: travel / hotels / restaurants / airlines / railways functional area: hr , recruitment , administration , ir role category:hr/ recruitment / ir role:hr executive keyskills human resource planning hr generalist planning hr executive recruitment planning desired candidate profile please refer to the job description above education- ug: any graduate - any specialization doctorate:doctorate not required company profile: black peppers chain of qsr in mumbai provide recruitment solutions for hospitality, retail & logistics sector. download ppt photo 1   view contact details",110116007886,Mumbai,HR Executive (generalist) for a QSR Chain,1.0,"2,25,000 - 3,25,000 P.A",2016-01-11 19:48:35 +0000,www.naukri.com,HR,907c82bf4f1c20dcf7b79d80065fde0d
